_id,disc_number,duration_ms,explicit,external_ids,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri
6417839cc901a82deddf7543,1,152280,True,{'isrc': 'UKELY2100032'},1QEst1t6zzEFcryyAXemeB,False,True,dying out west,54,https://p.scdn.co/mp3-preview/0a35c30ce91ce58e08d8ae95f861a5bfa42a2e85?cid=cb4ec505f95b416290dde5564512932e,2,track,spotify:track:1QEst1t6zzEFcryyAXemeB
6417839cc901a82deddf7544,1,172540,True,{'isrc': 'USRC12102454'},4pi1G1x8tl9VfdD9bL3maT,False,True,Big Energy,66,https://p.scdn.co/mp3-preview/c3cc5176cce31288ed64859f4dc38ee321d68b25?cid=cb4ec505f95b416290dde5564512932e,4,track,spotify:track:4pi1G1x8tl9VfdD9bL3maT
6417839cc901a82deddf7545,1,186761,True,{'isrc': 'USRC12203634'},1JUtrCqYzJ80tcAzMbCvir,False,True,Lottery (feat. LU KALA),73,https://p.scdn.co/mp3-preview/780a0811cfbedc9ee55413eac49c6ff73122e624?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:1JUtrCqYzJ80tcAzMbCvir
6417839cc901a82deddf7546,1,181665,True,{'isrc': 'USRC12201305'},4nmD4awtUUCC4AGETpUiuP,False,True,Big Energy (feat. DJ Khaled) - Remix,66,https://p.scdn.co/mp3-preview/50fec6ecae2ed1417152d26e8e755d1187b38760?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:4nmD4awtUUCC4AGETpUiuP
6417839cc901a82deddf7547,1,150560,False,{'isrc': 'GBAHS2200496'},0H8Tclo4x4kbZruQtZFNSX,False,True,I Just Called,68,https://p.scdn.co/mp3-preview/3b30c5e2f385d30616295dbc1fada6f8fbd624bc?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:0H8Tclo4x4kbZruQtZFNSX
6417839cc901a82deddf7548,1,145655,True,{'isrc': 'USRC12203633'},4lxTmHPgoRWwM9QisWobJL,False,True,FTCU (feat. GloRilla & Gangsta Boo),64,https://p.scdn.co/mp3-preview/fe6c73ab213f0bf68b638cf2d908a34fcb0b943a?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:4lxTmHPgoRWwM9QisWobJL
6417839cc901a82deddf7549,1,201979,True,{'isrc': 'USAT22212376'},3BFxkzhkESwALQxjxOVFgJ,False,True,Budget (feat. Latto),63,https://p.scdn.co/mp3-preview/26ce0c0bd326cbb895ca58fecfcfed590b32a574?cid=cb4ec505f95b416290dde5564512932e,4,track,spotify:track:3BFxkzhkESwALQxjxOVFgJ
6417839cc901a82deddf754a,1,247762,True,{'isrc': 'QZRD92202055'},59DRBDlssFvtWDHsYwCa6q,False,True,F.N.F (Let's Go) - Remix,63,,1,track,spotify:track:59DRBDlssFvtWDHsYwCa6q
6417839cc901a82deddf754b,1,205170,True,{'isrc': 'USSM12210022'},6y39UI6gdUexBGprn6pQo6,False,True,For the Night,62,https://p.scdn.co/mp3-preview/b277728baa027d97944e242b49438083754f3369?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:6y39UI6gdUexBGprn6pQo6
6417839cc901a82deddf754c,1,146666,True,{'isrc': 'USRC12201992'},3Ca24oa8tofPtGYuULHXHI,False,True,Booty (feat. Latto),61,https://p.scdn.co/mp3-preview/611939be3332f92928cb1046cbe62ea683e93b73?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:3Ca24oa8tofPtGYuULHXHI
6417839cc901a82deddf754d,1,170270,True,{'isrc': 'USRC12200362'},5lrAnzvRBQSgAkpo0WkMjB,False,True,Wheelie (feat. 21 Savage),51,https://p.scdn.co/mp3-preview/9472ba85141ad5700a3558cb8592e8d5744d401a?cid=cb4ec505f95b416290dde5564512932e,3,track,spotify:track:5lrAnzvRBQSgAkpo0WkMjB
6417839dc901a82deddf754e,1,184732,False,{'isrc': 'USUM71800463'},09IStsImFySgyp0pIQdqAc,False,True,The Middle,78,,1,track,spotify:track:09IStsImFySgyp0pIQdqAc
6417839dc901a82deddf754f,1,210090,False,{'isrc': 'USUM71700736'},6uBhi9gBXWjanegOb2Phh0,False,True,Stay,74,,1,track,spotify:track:6uBhi9gBXWjanegOb2Phh0
6417839dc901a82deddf7550,1,271426,False,{'isrc': 'USUM71210662'},60wwxj6Dd9NJlirf84wr2c,False,True,Clarity,74,,5,track,spotify:track:60wwxj6Dd9NJlirf84wr2c
6417839dc901a82deddf7551,1,201253,False,{'isrc': 'USUM71813582'},575NJxNUVDqwJGdzBrlLbv,False,True,Lost In Japan - Remix,58,,1,track,spotify:track:575NJxNUVDqwJGdzBrlLbv
6417839dc901a82deddf7552,1,217346,False,{'isrc': 'USUM71311478'},2QtJA4gbwe1AcanB2p21aP,False,True,Stay The Night - Featuring Hayley Williams Of Paramore,63,,11,track,spotify:track:2QtJA4gbwe1AcanB2p21aP
6417839dc901a82deddf7553,1,218293,False,{'isrc': 'USUM71505090'},2ISSQPb9LHHiV6ng2NXosL,False,True,Beautiful Now,67,,3,track,spotify:track:2ISSQPb9LHHiV6ng2NXosL
6417839dc901a82deddf7554,1,207029,False,{'isrc': 'USUM71808663'},4keoy2fqgwGnbWlm3ZVZFa,False,True,Happy Now,67,,1,track,spotify:track:4keoy2fqgwGnbWlm3ZVZFa
6417839dc901a82deddf7555,1,206000,False,{'isrc': 'USUM72215310'},1elhmWW7Bv0MOQj2gAsyoV,False,True,Make You Say,66,,1,track,spotify:track:1elhmWW7Bv0MOQj2gAsyoV
6417839dc901a82deddf7556,1,240000,False,{'isrc': 'USUM71502344'},1JDIArrcepzWDTAWXdGYmP,False,True,I Want You To Know,65,,2,track,spotify:track:1JDIArrcepzWDTAWXdGYmP
6417839dc901a82deddf7557,1,210901,True,{'isrc': 'USUM71919172'},5aUSEPNd3m5xliFK4pn5mU,False,True,Good Thing (with Kehlani),65,,1,track,spotify:track:5aUSEPNd3m5xliFK4pn5mU
6417839dc901a82deddf7558,1,212200,False,{'isrc': 'USMR19887499'},1wb4P4F0sxAQ2KXrRvsx6n,False,True,You're Still The One,76,,10,track,spotify:track:1wb4P4F0sxAQ2KXrRvsx6n
6417839dc901a82deddf7559,1,234493,False,{'isrc': 'USMR19887508'},6sxptembJVty4sNtcPMAVz,False,True,Man! I Feel Like A Woman!,76,,1,track,spotify:track:6sxptembJVty4sNtcPMAVz
6417839dc901a82deddf755a,1,218866,False,{'isrc': 'USMR19900016'},4FUfoWMypAyWbOavmYyeNu,False,True,That Don't Impress Me Much,69,,12,track,spotify:track:4FUfoWMypAyWbOavmYyeNu
6417839dc901a82deddf755b,1,246760,False,{'isrc': 'USPR39402722'},0pdfN7nOHMYmKykzu1cyfm,False,True,Any Man Of Mine,70,,2,track,spotify:track:0pdfN7nOHMYmKykzu1cyfm
6417839dc901a82deddf755c,1,162665,False,{'isrc': 'USUM72219195'},3igW3rEFLz639UgqrDHqnU,False,True,Giddy Up!,58,,1,track,spotify:track:3igW3rEFLz639UgqrDHqnU
6417839dc901a82deddf755d,1,235106,False,{'isrc': 'USMR10400188'},0vswnzoKvhNkT1ehc0Tt19,False,True,From This Moment On - Pop On-Tour Version,65,,7,track,spotify:track:0vswnzoKvhNkT1ehc0Tt19
6417839dc901a82deddf755e,1,281533,False,{'isrc': 'USMR19887501'},0Q7Jp3aCwfYnSnbMDoXWyR,False,True,From This Moment On,64,,5,track,spotify:track:0Q7Jp3aCwfYnSnbMDoXWyR
6417839dc901a82deddf755f,1,215200,False,{'isrc': 'USMR19887512'},39IoZIC8eEirT1v70rqSPq,False,True,"Honey, I'm Home",61,,11,track,spotify:track:39IoZIC8eEirT1v70rqSPq
6417839dc901a82deddf7560,1,198802,False,{'isrc': 'USUM72216291'},4DI3dwTvqj3P4m7Q5Yzpuz,False,True,Waking Up Dreaming,54,,3,track,spotify:track:4DI3dwTvqj3P4m7Q5Yzpuz
